state,year,support,fte,cpi_u_rs,cpi_u_rs_2019_adj,real_support_fte
Alabama,2019,1657194944,203627,376.5,1,8138.385106100861
Alaska,2019,352348888,16721.16,376.5,1,21072.03615060199
Arizona,2019,905479000,292856,376.5,1,3091.8915781134756
Arkansas,2019,996492009,112722,376.5,1,8840.261963059562
California,2019,15792285000,1555997,376.5,1,10149.302987088022
Colorado,2019,993825292,183745,376.5,1,5408.720193746769
Connecticut,2019,1131758139,83793,376.5,1,13506.595288389244
Delaware,2019,237443800,36410,376.5,1,6521.389728096677
Florida,2019,5347532462,603916,376.5,1,8854.762023195279
Georgia,2019,3635834759,355223,376.5,1,10235.358518451789
Hawaii,2019,778347851,35254,376.5,1,22078.28476201282
Idaho,2019,502954900,54421,376.5,1,9241.926829716469
Illinois,2019,4255406543,310561,376.5,1,13702.321099558541
Indiana,2019,1779141830,246300.67,376.5,1,7223.455096569571
Iowa,2019,815518230,123666,376.5,1,6594.522585027413
Kansas,2019,806027217,132253,376.5,1,6094.585506566958
Kentucky,2019,1144995600,142002,376.5,1,8063.235729074238
Louisiana,2019,1177144207,163931.95,376.5,1,7180.688126994158
Maine,2019,307978505,33947,376.5,1,9072.333490440982
Maryland,2019,2068342484,229239,376.5,1,9022.646600273078
Massachusetts,2019,1606272299,160327,376.5,1,10018.726097288667
Michigan,2019,1954421700,366298,376.5,1,5335.605709012881
Minnesota,2019,1630558000,184359,376.5,1,8844.471927055365
Mississippi,2019,904710576,129499,376.5,1,6986.236001822408
Missouri,2019,998983910,182499.2,376.5,1,5473.908433571215
Montana,2019,244579818,36371,376.5,1,6724.583266888455
Nebraska,2019,762533014,75941,376.5,1,10041.124214851003
Nevada,2019,655333247,71016,376.5,1,9227.966190717585
New Hampshire,2019,128543198,36353,376.5,1,3535.9722168734356
New Jersey,2019,2155024000,262246,376.5,1,8217.566712171016
New Mexico,2019,868610800,79980,376.5,1,10860.35008752188
New York,2019,6143887569,537113,376.5,1,11438.724382020171
North Carolina,2019,4317673723,393922,376.5,1,10960.732639964257
North Dakota,2019,358491256,33683,376.5,1,10643.091648606121
Ohio,2019,2299505863,390905,376.5,1,5882.518420076489
Oklahoma,2019,831716742,128845,376.5,1,6455.172820055105
Oregon,2019,884053435,137942,376.5,1,6408.8778979571125
Pennsylvania,2019,1756295000,346265,376.5,1,5072.112399462839
Rhode Island,2019,208435318,30204,376.5,1,6900.917693020792
South Carolina,2019,1174842762,162050,376.5,1,7249.87819808701
South Dakota,2019,238879017,32815.55,376.5,1,7279.445781039781
