state,year,support,fte,cpi_u_rs,cpi_u_rs_2019
Alabama,2019,1657194944,203627,376.5,376.5
Alaska,2019,352348888,16721.16,376.5,376.5
Arizona,2019,905479000,292856,376.5,376.5
Arkansas,2019,996492009,112722,376.5,376.5
California,2019,15792285000,1555997,376.5,376.5
Colorado,2019,993825292,183745,376.5,376.5
Connecticut,2019,1131758139,83793,376.5,376.5
Delaware,2019,237443800,36410,376.5,376.5
Florida,2019,5347532462,603916,376.5,376.5
Georgia,2019,3635834759,355223,376.5,376.5
Hawaii,2019,778347851,35254,376.5,376.5
Idaho,2019,502954900,54421,376.5,376.5
Illinois,2019,4255406543,310561,376.5,376.5
Indiana,2019,1779141830,246300.67,376.5,376.5
Iowa,2019,815518230,123666,376.5,376.5
Kansas,2019,806027217,132253,376.5,376.5
Kentucky,2019,1144995600,142002,376.5,376.5
Louisiana,2019,1177144207,163931.95,376.5,376.5
Maine,2019,307978505,33947,376.5,376.5
Maryland,2019,2068342484,229239,376.5,376.5
Massachusetts,2019,1606272299,160327,376.5,376.5
Michigan,2019,1954421700,366298,376.5,376.5
Minnesota,2019,1630558000,184359,376.5,376.5
Mississippi,2019,904710576,129499,376.5,376.5
Missouri,2019,998983910,182499.2,376.5,376.5
Montana,2019,244579818,36371,376.5,376.5
Nebraska,2019,762533014,75941,376.5,376.5
Nevada,2019,655333247,71016,376.5,376.5
New Hampshire,2019,128543198,36353,376.5,376.5
New Jersey,2019,2155024000,262246,376.5,376.5
New Mexico,2019,868610800,79980,376.5,376.5
New York,2019,6143887569,537113,376.5,376.5
North Carolina,2019,4317673723,393922,376.5,376.5
North Dakota,2019,358491256,33683,376.5,376.5
Ohio,2019,2299505863,390905,376.5,376.5
Oklahoma,2019,831716742,128845,376.5,376.5
Oregon,2019,884053435,137942,376.5,376.5
Pennsylvania,2019,1756295000,346265,376.5,376.5
Rhode Island,2019,208435318,30204,376.5,376.5
South Carolina,2019,1174842762,162050,376.5,376.5
South Dakota,2019,238879017,32815.55,376.5,376.5
Tennessee,2019,1924836726,185912.35,376.5,376.5
Texas,2019,7577802811,1066707,376.5,376.5
Utah,2019,1113971200,128130,376.5,376.5
Vermont,2019,96188297,20458,376.5,376.5
Virginia,2019,2120468204,304997,376.5,376.5
Washington,2019,2037367000,235292,376.5,376.5
West Virginia,2019,491888995,66577,376.5,376.5
Wisconsin,2019,1573280133,209403,376.5,376.5
Wyoming,2019,384799235,22194.1,376.5,376.5
U.S.,2019,92130005508,10934889.98,376.5,376.5
District of Columbia,2019,87353491,3518,376.5,376.5
Alabama,2018,1599326154,202506,369.8,376.5
Alaska,2018,343870898,17555.26,369.8,376.5
Arizona,2018,875132900,290816,369.8,376.5
Arkansas,2018,982187681,114664,369.8,376.5
California,2018,14432398000,1553164,369.8,376.5
Colorado,2018,894743710,183875,369.8,376.5
Connecticut,2018,1097667519,86008,369.8,376.5
Delaware,2018,237069500,36073,369.8,376.5
Florida,2018,5037744202,602675,369.8,376.5
Georgia,2018,3443626402,350448,369.8,376.5
Hawaii,2018,716718368,36030,369.8,376.5
Idaho,2018,478997900,53570,369.8,376.5
Illinois,2018,4141275358,319582,369.8,376.5
Indiana,2018,1773727687,247677.78,369.8,376.5
Iowa,2018,804642010,125333,369.8,376.5
Kansas,2018,772091220,133815,369.8,376.5
Kentucky,2018,1173159100,144747,369.8,376.5
Louisiana,2018,1159690661,161670.45,369.8,376.5
Maine,2018,303051904,33945,369.8,376.5
Maryland,2018,1991588780,231761,369.8,376.5
Massachusetts,2018,1564337918,163673,369.8,376.5
Michigan,2018,1917024500,372073,369.8,376.5
Minnesota,2018,1653249000,187705,369.8,376.5
Mississippi,2018,900155014,130279,369.8,376.5
Missouri,2018,988536584,186862,369.8,376.5
Montana,2018,241493606,37371,369.8,376.5
Nebraska,2018,745710158,76792,369.8,376.5
Nevada,2018,622021005,70437,369.8,376.5
New Hampshire,2018,127935617,37643,369.8,376.5
New Jersey,2018,2065933000,264441,369.8,376.5
New Mexico,2018,836246000,83746.5,369.8,376.5
New York,2018,5931007406,546831,369.8,376.5
North Carolina,2018,4086567077,392138,369.8,376.5
North Dakota,2018,358491256,34969,369.8,376.5
Ohio,2018,2300904761,387109,369.8,376.5
Oklahoma,2018,824226487,131083,369.8,376.5
Oregon,2018,839939382,140410,369.8,376.5
Pennsylvania,2018,1713363000,344494,369.8,376.5
Rhode Island,2018,199553587,30316,369.8,376.5
South Carolina,2018,1097979545,164401.92,369.8,376.5
South Dakota,2018,234058232,32898.8,369.8,376.5
Tennessee,2018,1844857699,184975.57,369.8,376.5
Texas,2018,7493114733,1052885,369.8,376.5
Utah,2018,1029936100,125550,369.8,376.5
Vermont,2018,95533067,20583,369.8,376.5
Virginia,2018,2013572522,303300,369.8,376.5
Washington,2018,1906810000,237289,369.8,376.5
West Virginia,2018,470910031,68746,369.8,376.5
Wisconsin,2018,1509157200,211610,369.8,376.5
Wyoming,2018,373759707,22699,369.8,376.5
U.S.,2018,88245094148,10969226.28,369.8,376.5
District of Columbia,2018,78180000,3568,369.8,376.5
Alabama,2017,1567347574,198619,361,376.5
Alaska,2017,352480708,18492.23,361,376.5
Arizona,2017,860387400,286335,361,376.5
Arkansas,2017,974615738,114976,361,376.5
California,2017,13562573000,1536241,361,376.5
Colorado,2017,869271013,182212,361,376.5
Connecticut,2017,1152055154,90404,361,376.5
Delaware,2017,234722700,35554,361,376.5
Florida,2017,4537335069,597293,361,376.5
Georgia,2017,3210406736,347479,361,376.5
Hawaii,2017,667478019,36827,361,376.5
Idaho,2017,460323000,53116,361,376.5
Illinois,2017,4546523441,330668,361,376.5
Indiana,2017,1745379182,248664,361,376.5
Iowa,2017,829402839,126555,361,376.5
Kansas,2017,769175109,134716,361,376.5
Kentucky,2017,1170767200,147167,361,376.5
Louisiana,2017,1083387063,160056.83,361,376.5
Maine,2017,301740529,34287,361,376.5
Maryland,2017,1963481407,232963,361,376.5
Massachusetts,2017,1544319564,165736,361,376.5
Michigan,2017,1877039600,378402,361,376.5
Minnesota,2017,1543313000,189951,361,376.5
Mississippi,2017,1013678408,130623,361,376.5
Missouri,2017,1011797327,195255,361,376.5
Montana,2017,249254902,38076,361,376.5
Nebraska,2017,753553849,76899,361,376.5
Nevada,2017,570958220,69104,361,376.5
New Hampshire,2017,125200059,38156,361,376.5
New Jersey,2017,2083569000,266194,361,376.5
New Mexico,2017,854808000,89020,361,376.5
